TIME             CONTAINER_ID  IMAGE            UID    COMM             PID/host        TID/host        RET              EVENT                     ARGS
03:27:18:610089  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   0                close                     fd: 5
03:27:18:611527  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   0                close                     fd: 4
03:27:18:611600  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   0                close                     fd: 9
03:27:18:611922  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   70               write                     fd: 2, buf: 0x78db842437e0, count: 70
03:27:18:612004  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   166              sendto                    sockfd: 7, buf: 0x78db824c2f70, len: 166, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:18:612067  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   182              sendto                    sockfd: 7, buf: 0x78db8252bcb0, len: 182, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:18:613776  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   132884164825088  mmap                      addr: 0x0, length: 10000053, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:613816  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   0                recvfrom                  sockfd: 7, buf: 0x78db8170d490, len: 9961472, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:18:613843  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   0                close                     fd: 4
03:27:18:614023  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   0                close                     fd: 7
03:27:23:829596  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884184203264  mmap                      addr: 0x0, length: 32768, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:23:829623  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884176265216  mmap                      addr: 0x0, length: 1060864, prot: PROT_NONE, flags: 34, fd: -1, off: 0
03:27:23:829634  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   40               clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
